"Series";"Time";"Value"
"soil temperature";"2018-10-05T05:00:00+03:00";null
"soil temperature";"2018-10-05T06:00:00+03:00";null
"soil temperature";"2018-10-05T07:00:00+03:00";null
"soil temperature";"2018-10-05T08:00:00+03:00";null
"soil temperature";"2018-10-05T09:00:00+03:00";null
"soil temperature";"2018-10-05T10:00:00+03:00";null
"soil temperature";"2018-10-05T11:00:00+03:00";null
"soil temperature";"2018-10-05T12:00:00+03:00";null
"soil temperature";"2018-10-05T13:00:00+03:00";null
"soil temperature";"2018-10-05T14:00:00+03:00";null
"soil temperature";"2018-10-05T15:00:00+03:00";null
"soil temperature";"2018-10-05T16:00:00+03:00";null
"soil temperature";"2018-10-05T17:00:00+03:00";24.008
"soil temperature";"2018-10-05T18:00:00+03:00";23.9
"soil temperature";"2018-10-05T19:00:00+03:00";20.2
"soil temperature";"2018-10-05T20:00:00+03:00";20.14
"soil temperature";"2018-10-05T21:00:00+03:00";15.57
"soil temperature";"2018-10-05T22:00:00+03:00";16.995
"soil temperature";"2018-10-05T23:00:00+03:00";15.27
"soil temperature";"2018-10-06T00:00:00+03:00";19
"soil temperature";"2018-10-06T01:00:00+03:00";16.21
"soil temperature";"2018-10-06T02:00:00+03:00";13.42
"soil temperature";"2018-10-06T03:00:00+03:00";14.21
"soil temperature";"2018-10-06T04:00:00+03:00";13.39
"soil temperature";"2018-10-06T05:00:00+03:00";16.58
"soil temperature";"2018-10-06T06:00:00+03:00";17.52
"soil temperature";"2018-10-06T07:00:00+03:00";15.13
"soil temperature";"2018-10-06T08:00:00+03:00";16.68
"soil temperature";"2018-10-06T09:00:00+03:00";17.22
"soil temperature";"2018-10-06T10:00:00+03:00";17.65
"soil temperature";"2018-10-06T11:00:00+03:00";21.92
"soil temperature";"2018-10-06T12:00:00+03:00";21.01
"soil temperature";"2018-10-06T13:00:00+03:00";22.79
"soil temperature";"2018-10-06T14:00:00+03:00";24.47
"soil temperature";"2018-10-06T15:00:00+03:00";20.07
"soil temperature";"2018-10-06T16:00:00+03:00";18.59
"soil temperature";"2018-10-06T17:00:00+03:00";18.06
"soil temperature";"2018-10-06T18:00:00+03:00";17.335
"soil temperature";"2018-10-06T19:00:00+03:00";16.61
"soil temperature";"2018-10-06T20:00:00+03:00";17.935
"soil temperature";"2018-10-06T21:00:00+03:00";19.26
"soil temperature";"2018-10-06T22:00:00+03:00";14.8
"soil temperature";"2018-10-06T23:00:00+03:00";15.67
"soil temperature";"2018-10-07T00:00:00+03:00";18.66
"soil temperature";"2018-10-07T01:00:00+03:00";14.63
"soil temperature";"2018-10-07T02:00:00+03:00";14.76
"soil temperature";"2018-10-07T03:00:00+03:00";18.53
"soil temperature";"2018-10-07T04:00:00+03:00";18.79
"soil temperature";"2018-10-07T05:00:00+03:00";14.56
"soil temperature";"2018-10-07T06:00:00+03:00";15.84
"soil temperature";"2018-10-07T07:00:00+03:00";14.97
"soil temperature";"2018-10-07T08:00:00+03:00";19.23
"soil temperature";"2018-10-07T09:00:00+03:00";20.54
"soil temperature";"2018-10-07T10:00:00+03:00";20.61
"soil temperature";"2018-10-07T11:00:00+03:00";20.37
"soil temperature";"2018-10-07T12:00:00+03:00";22.15
"soil temperature";"2018-10-07T13:00:00+03:00";24.33
"soil temperature";"2018-10-07T14:00:00+03:00";25.31
"soil temperature";"2018-10-07T15:00:00+03:00";23.29
"soil temperature";"2018-10-07T16:00:00+03:00";19.4
"soil temperature";"2018-10-07T17:00:00+03:00";21.38
"soil temperature";"2018-10-07T18:00:00+03:00";16.75
"soil temperature";"2018-10-07T19:00:00+03:00";18.61
"soil temperature";"2018-10-07T20:00:00+03:00";20.47
"soil temperature";"2018-10-07T21:00:00+03:00";17.01
"soil temperature";"2018-10-07T22:00:00+03:00";20.34
"soil temperature";"2018-10-07T23:00:00+03:00";19.67
"soil temperature";"2018-10-08T00:00:00+03:00";20
"soil temperature";"2018-10-08T01:00:00+03:00";17.82
"soil temperature";"2018-10-08T02:00:00+03:00";18.46
"soil temperature";"2018-10-08T03:00:00+03:00";19.03
"soil temperature";"2018-10-08T04:00:00+03:00";15.17
"soil temperature";"2018-10-08T05:00:00+03:00";14.83
"soil temperature";"2018-10-08T06:00:00+03:00";18.53
"soil temperature";"2018-10-08T07:00:00+03:00";15.67
"soil temperature";"2018-10-08T08:00:00+03:00";15.91
"soil temperature";"2018-10-08T09:00:00+03:00";18.53
"soil temperature";"2018-10-08T10:00:00+03:00";20.37
"soil temperature";"2018-10-08T11:00:00+03:00";19.872
"soil temperature";"2018-10-08T12:00:00+03:00";19.373
"soil temperature";"2018-10-08T13:00:00+03:00";18.875
"soil temperature";"2018-10-08T14:00:00+03:00";18.377
"soil temperature";"2018-10-08T15:00:00+03:00";17.878
"soil temperature";"2018-10-08T16:00:00+03:00";17.38
"soil temperature";"2018-10-08T17:00:00+03:00";17.45
"soil temperature";"2018-10-08T18:00:00+03:00";18.02
"soil temperature";"2018-10-08T19:00:00+03:00";18.59
"soil temperature";"2018-10-08T20:00:00+03:00";19.16
"soil temperature";"2018-10-08T21:00:00+03:00";18.83
"soil temperature";"2018-10-08T22:00:00+03:00";15.94
"soil temperature";"2018-10-08T23:00:00+03:00";19.23
"soil temperature";"2018-10-09T00:00:00+03:00";17.99
"soil temperature";"2018-10-09T01:00:00+03:00";15.47
"soil temperature";"2018-10-09T02:00:00+03:00";16.64
"soil temperature";"2018-10-09T03:00:00+03:00";16.07
"soil temperature";"2018-10-09T04:00:00+03:00";19.2
"soil temperature";"2018-10-09T05:00:00+03:00";18.02
"soil temperature";"2018-10-09T06:00:00+03:00";18.36
"soil temperature";"2018-10-09T07:00:00+03:00";17.99
"soil temperature";"2018-10-09T08:00:00+03:00";17.22
"soil temperature";"2018-10-09T09:00:00+03:00";17.99
"soil temperature";"2018-10-09T10:00:00+03:00";21.98
"soil temperature";"2018-10-09T11:00:00+03:00";24.03
"soil temperature";"2018-10-09T12:00:00+03:00";23.66
"soil temperature";"2018-10-09T13:00:00+03:00";24.91
"soil temperature";"2018-10-09T14:00:00+03:00";23.295
"soil temperature";"2018-10-09T15:00:00+03:00";21.95
"soil temperature";"2018-10-09T16:00:00+03:00";19.06
"soil temperature";"2018-10-09T17:00:00+03:00";18.79
"soil temperature";"2018-10-09T18:00:00+03:00";19.6
"soil temperature";"2018-10-09T19:00:00+03:00";19.6
"soil temperature";"2018-10-09T20:00:00+03:00";18.53
"soil temperature";"2018-10-09T21:00:00+03:00";17.48
"soil temperature";"2018-10-09T22:00:00+03:00";15.87
"soil temperature";"2018-10-09T23:00:00+03:00";18.79
"soil temperature";"2018-10-10T00:00:00+03:00";17.65
"soil temperature";"2018-10-10T01:00:00+03:00";17.05
"soil temperature";"2018-10-10T02:00:00+03:00";16.41
"soil temperature";"2018-10-10T03:00:00+03:00";15.13
"soil temperature";"2018-10-10T04:00:00+03:00";11.88
"soil temperature";"2018-10-10T05:00:00+03:00";11.41
"soil temperature";"2018-10-10T06:00:00+03:00";10.365
"soil temperature";"2018-10-10T07:00:00+03:00";6.77
"soil temperature";"2018-10-10T08:00:00+03:00";8.72
"soil temperature";"2018-10-10T09:00:00+03:00";-29.65
"soil temperature";"2018-10-10T10:00:00+03:00";null
"soil temperature";"2018-10-10T11:00:00+03:00";null